zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,imageLink,daysOnZillow,isFeatured,shouldHighlight,brokerId,zestimate,rentZestimate,listing_sub_type,openHouse,isUnmappable,mediumImageLink,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,open_house_info,timeOnZillow,hiResImageLink,watchImageLink,tvImageLink,tvCollectionImageLink,tvHighResImageLink,desktopWebHdpImageLink,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,unit,lotAreaValue,lotAreaUnit,dateSold,videoCount,group_type,grouping_name,priceSuffix,providerListingID,newConstructionType,datePriceChanged,priceChange,priceReduction,isRentalWithBasePrice,comingSoonOnMarketDate
24856612,3265 Encinal Ave,94501,Alameda,CA,37.754951,-122.231631,1195000.0,2.0,2.0,1758.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,1,False,False,0,1510000.0,3058.0,True,Sun. 1-4pm,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1195000.0,,1632444507000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,1016134.0,,5500.0,sqft,1183100400000.0,,,,,,,,,,,
24872381,1133 Straub Way,94502,Alameda,CA,37.736083,-122.250876,895000.0,3.0,2.0,1198.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,1,False,False,0,1070400.0,3428.0,True,Sat. 1:30-4pm,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,895000.0,,1632443892000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,745010.0,,2100.0,sqft,1416988800000.0,,,,,,,,,,,
24860931,1112 Union St,94501,Alameda,CA,37.767273,-122.256561,1195000.0,2.0,3.0,1426.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,1,False,False,0,1455900.0,3755.0,True,Sat. 2-4pm,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1195000.0,,1632438800000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,1212431.0,,3528.0,sqft,1576656000000.0,,,,,,,,,,,
2069325896,"Leeward - Plan 7 Plan, Leeward at Alameda Point",94501,Alameda,CA,37.780183,-122.291736,1750000.0,5.0,5.0,3332.0,TOWNHOUSE,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,1,False,False,0,,3788.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1750000.0,,1632399360000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# GL394H,,,,,BUILDER_COMMUNITY,Leeward at Alameda Point,+,28922966,BUILDER_PLAN,,,,,
2071614817,"Plan 1 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,875990.0,3.0,2.0,1298.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,2,False,False,0,,4140.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,875990.0,,1632312960000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# UH6LSW,,,,,BUILDER_COMMUNITY,Compass at Bay37,+,29260034,BUILDER_PLAN,1625986800000.0,10000.0,,,
111390220,351 Laguna Vis,94501,Alameda,CA,37.752911,-122.243708,1148000.0,3.0,3.0,1780.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,2,False,False,0,1306900.0,3949.0,True,Sat. 2-4pm,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1148000.0,,1632311587000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,364653.0,,3596.0,sqft,791107200000.0,1.0,,,,,,,,,,
2071593635,"Crest - Plan 2 Plan, Crest at Alameda Point",94501,Alameda,CA,37.780183,-122.291736,980000.0,4.0,2.0,1448.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,2,False,False,0,,3788.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,980000.0,,1632298560000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# V7ZTAP,,,,,BUILDER_COMMUNITY,Crest at Alameda Point,+,29255529,BUILDER_PLAN,1631084400000.0,51000.0,,,
24857078,2990 Johnson Ave,94501,Alameda,CA,37.760847,-122.232542,1198000.0,2.0,4.0,1800.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,2,False,False,0,,2434.0,True,Sat. 2-4pm,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1198000.0,,1632275898000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,False,USD,USA,686944.0,,3605.0,sqft,1013673600000.0,1.0,,,,,,,,,,
2071593634,"Crest - Plan 3 Plan, Crest at Alameda Point",94501,Alameda,CA,37.780183,-122.291736,1315000.0,4.0,3.0,2442.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,3,False,False,0,,3788.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1315000.0,,1632226560000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# 1BVSIB,,,,,BUILDER_COMMUNITY,Crest at Alameda Point,+,29255529,BUILDER_PLAN,1631602800000.0,100000.0,,,
2071614819,"Plan 1 Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,785990.0,2.0,1.0,1000.0,TOWNHOUSE,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,3,False,False,0,,4140.0,True,,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,785990.0,,1632212160000.0,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,True,False,USD,USA,,# XQ1GW4,,,,,BUILDER_COMMUNITY,Lookout at Bay37,+,29260033,BUILDER_PLAN,1628406000000.0,5000.0,,,
