Zpid,event,time,date,price,pricePerSquareFoot,priceChangeRate,source,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
2078237164,Price change,1625875200000,2021-07-10,1019880,612,0.009902166594050778,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1625270400000,2021-07-03,1009880,606,0.001984363217843394,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1624060800000,2021-06-19,1007880,605,0.01510756586898719,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1623456000000,2021-06-12,992880,596,0.0050613434830141316,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1622851200000,2021-06-05,987880,593,0.010226203624166564,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1621641600000,2021-05-22,977880,587,0.010331859321403479,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1621036800000,2021-05-15,967880,581,0.010439721050653527,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1620432000000,2021-05-08,957880,575,0.010549858631894332,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1619827200000,2021-05-01,947880,569,0.021554511359227486,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
2078237164,Price change,1619222400000,2021-04-24,927880,557,0.022029343084989206,Lennar Homes,,,False,False,"{'infoString1': None, 'infoString2': 'Lennar Homes', 'infoString3': 'https://photos.zillowstatic.com/fp/4f5994d4ddf3b5b2e05338865d11a809-p_d.jpg'}"
